trial_number,value,state,datetime_start,datetime_complete,use_percent_margin,margin_percent,margin_usdt,atr_mult_tp1,atr_mult_tp2,atr_mult_sl,trailing_start_atr,trailing_step_atr,breakeven_atr,breakeven_buffer_pts,tp1_pct,tp2_pct
14,-0.5392542902673049,1,2025-10-26T01:01:03.875311,2025-10-26T01:01:07.723779,False,3.711830921268639,3.110938525494538,1.4656865913029993,4.2938572124151815,2.062597008120569,1.2364334856840458,0.7897643719624559,0.9902158239319339,0.48246509037455526,0.5750145825846654,0.4368654559361585
15,-1.0582698762082385,1,2025-10-26T01:01:07.727776,2025-10-26T01:01:11.505001,False,2.052282625779797,27.979852806268607,2.0144556492614063,3.6412923679645517,1.8674076436152693,0.8834727218898726,0.7468080529297934,0.567655015695169,0.3401914544885778,0.5979188203535906,0.4287739198249708
16,-0.9962864355273975,1,2025-10-26T01:01:11.510001,2025-10-26T01:01:15.490930,False,0.20429210105805629,21.753058682509497,1.228692752389953,4.922423251812669,2.236260482538514,0.569988689346878,0.4514748727342967,0.9843466518919195,0.5524789441564089,0.6447237515336628,0.6322541283553963
17,-0.47365764611699757,1,2025-10-26T01:01:15.494932,2025-10-26T01:01:19.674233,False,4.029668050933886,2.100864952459043,1.9224173696923983,3.602917650282344,1.9996042833548993,1.3777329217731489,0.8215005701802249,1.1634647119109731,0.34553966532144664,0.7897335433223664,0.34026706706533105
18,-1.488091726900861,1,2025-10-26T01:01:19.678232,2025-10-26T01:01:23.612755,False,1.9803890274599847,30.867336036578017,1.2619184443880476,5.174587088592606,1.698542211002833,0.52289429088613,0.6692458351500558,0.7621356654028245,0.2390383865351569,0.5408642110882781,0.4008122439638936
19,-0.6236692173758911,1,2025-10-26T01:01:23.617753,2025-10-26T01:01:28.505489,False,3.3300607545637266,9.32517912220052,1.687296942401929,3.8594813868946884,2.3946844316888676,0.8923521352580324,0.9949786580982471,1.0911619839599287,0.5997736933330253,0.6524480849528959,0.5585169972621525
20,-0.9263823263985234,1,2025-10-26T01:01:28.513486,2025-10-26T01:01:33.140378,False,1.126150742470597,15.532657783560559,0.9518131125768066,3.2263966381397684,2.993957340671435,1.864765401955307,0.4660711548867962,1.7323358530114044,0.43197460051084013,0.7226674401997193,0.2504584367500613
21,-0.3245088065742387,1,2025-10-26T01:01:33.145382,2025-10-26T01:01:37.333629,False,3.9888234167390157,1.108120819618796,1.8423870893099117,4.0447747433147665,2.0285295453453314,1.3603859095263795,0.8237937288434433,1.210665156807695,0.3839522101186582,0.7933859588070099,0.35657752118393327
22,-0.1622035431750713,1,2025-10-26T01:01:37.338628,2025-10-26T01:01:41.445069,False,3.89342496405922,1.2588594575833163,2.1881808682197033,4.003156462182719,2.1473926723151413,1.221935612500598,0.8720114500238616,1.3540067147850008,0.4181721537945168,0.7506895482482748,0.37769703524635456
23,-0.560612650410737,1,2025-10-26T01:01:41.449069,2025-10-26T01:01:45.520633,False,4.092261617933991,7.262251907046213,2.236794734788835,4.955446235742356,1.8974985808688558,1.5346033414886193,0.8957930076709067,1.3670580352274722,0.4106261297055372,0.7485047849358105,0.486942020373054
24,-0.6778087681735342,1,2025-10-26T01:01:45.525542,2025-10-26T01:01:49.973853,False,3.768266127301913,1.0890267270065541,2.2576564422950485,3.9012798997829323,2.342889152704178,1.1568419863889114,0.8582496760151694,0.8687627754119117,0.2618769214465924,0.6430466573624112,0.38978511663622284
25,-0.7401832984285986,1,2025-10-26T01:01:49.979857,2025-10-26T01:01:54.004564,False,4.516423698404673,10.326234515583382,1.8923854775326756,2.908389710353293,2.589269108365714,1.2260408694220746,0.6428499153862861,1.2397864594929087,0.6299596584723075,0.7508609063988563,0.6212488745199061
26,-1.0807798889418343,1,2025-10-26T01:01:54.008566,2025-10-26T01:01:57.884492,False,2.9562195717430297,5.63435071994142,1.4570965834165008,4.663863314175186,1.5635513704460893,1.5581886210957265,0.7353963662326592,1.7156729746441715,0.19432768578072346,0.6957698699945506,0.3755547054801007
